﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},过量{0}
FUEL_DEFAULT_NAME,Fuel,燃料
FUEL_FULL,{0} is full,{0}已满
FUEL_ZERO,{0} ran out of fuel,{0}燃料已耗尽
INVENTORY_SLOT,DRAG ITEMS HERE,<i>将物品拖至此处</i>
LIQUID_DEFAULT_NAME,Quantity,量
PROGRESS_DEFAULT_NAME,Progress,进程
PROGRESS_FULL,{0} is complete,{0}已完成
PROGRESS_ZERO,{0} ran out of uses,{0}没有使用次数了
SPOILAGE_DEFAULT_NAME,Spoilage,变质
SPOILAGE_FULL,{0} is good as new,{0}崭新如初
SPOILAGE_ZERO,{0} spoiled,{0}没了
SPECIAL1_DEFAULT_NAME,Value 1,值1
SPECIAL2_DEFAULT_NAME,Value 2,值2
SPECIAL3_DEFAULT_NAME,Value 3,值3
SPECIAL4_DEFAULT_NAME,Value 4,值4
USAGE_DEFAULT_NAME,Durability,耐久度
USAGE_FULL,{0} is good as new,{0}崭新如初
USAGE_ZERO,{0} broke,{0}已用尽
DEMO_OVER,END OF FIRST DAYS,<i>你活过了最初的日子</i>
DIFFICULTY_SCORE,Difficulty: {0}pts,难度分数：{0}点
DISCARD_ACTION_DESC,Permanently get rid of this object.,永久丢弃该物品
DISCARD_ACTION_TITLE,Discard,丢弃
DISMANTLE_DESC,Collect all items and revert to previous building stage.,返还材料并复原到上一阶段。
DISMANTLE_DESC_FIRST_STEP,Collect all items and destroy building.,返还材料并取消蓝图。
DO_STACK_ACTION,Do x{0},全部
DURATION,Duration,耗时
EAST,East,东方
EMPTY,Empty,倒空
EQUIP_CARD,Equip {0},装备{0}
EQUIP_BOTH_HAND,Equip in Both Hands,双手装备
EQUIP_MAIN_HAND,Equip in Main Hand,主手装备
EQUIP_OFF_HAND,Equip in Off Hand,副手装备
EQUIPMENT,Equipment,装备
EVENT_TITLE,EVENT,<b>事件</b>
EXPLORATION,Exploration,探索
EXPLORED,Explored,已探索
EXPLORING,Exploring,探索中
FILL_WITH_LIQUID,Fill {0} with {1},把{1}倒入{0}
FINISHED_COOKING,{0} finished cooking {1},{1}在{0}中已完成
FINISHED_COOKING_EMPTY,{0} is ready,{0}已准备完成
GAME_OVER,GAME OVER,<b>你死了</b>
GIVE_CHASE,Give chase,追逐
PLACEHOLDER_DISCLAIMER,{0}\n\n<b>-The text above is a placeholder-</b>,{0}\n\n<b>-上文为占位符-</b>
HOLD_FOR_ACTION,Hold for action...,长按以互动……
HOLD,Hold,长按
HOPE_GOOD_TIME,We hope you had a good time!,希望你玩得开心！
AN_HOUR,an hour,1小时
FORMAT_HOURS,0h,0时
HOURS,hours,小时
HOVER,Hover,悬停
IMPORT_PORTRAIT,Import Custom Portrait,导入自定义头像
IMPOSSIBLE_ACTION,I can't do this now...,我现在不能做这个……
IMPROVEMENT_DESC,{0} on a card for info,在卡牌上{0}以获取信息
IMPROVEMENTS,Improvements,升级
INTERACTION,Interaction,互动
INSPECTION_TITLE,DETAILS,<b>详情</b>
INVENTORY_CANNOT_CARRY,{0} doesn't have room for this...,{0}满了……
INVENTORY_FULL,{0} inventory full,{0}已满
IS_NOT_EQUIPMENT,{0} is not equippable,{0}不可装备
JOURNAL_SUBTITLE_NAME,The {0} tale of {2}\n({1}),{2}的{0}幻想\n（{1}）
LESS_THAN,less than {0},少于{0}
LIQUID_AUTO_FILLING,Filling with {0},正在灌入{0}
LIQUID_CONTAINER_EMPTY,{0} is empty,{0}空了
LIQUID_TRANSFER,Transfer Liquid,转存液体
LOAD,Load,加载
LOADING,LOADING,<b>加载中</b>
MANY,many {0},大量{0}
MAIN_HAND,Main Hand,主手
MEDIUM_FLAVOUR,Moderately {0},适中{0}
FORMAT_MINUTES,0min,0分
MINUTES,minutes,分钟
MISSING_CARD_INHAND,Missing {0} in hand,手中缺少{0}
MISSING_CARD_ONBOARD,Missing {0},缺少{0}
MORE_THAN,more than {0},多于{0}
MOVE_ITEM_TO_LOCATION,Move {0} to {1},将{0}移动到{1}
NEW_BLUEPRINT,New Blueprint,新蓝图
NEW_DAMAGE,Something got damaged!,出现损坏！
NEW_IMPROVEMENT,New Improvement,新的升级项
NO_DAMAGES,No Damages To Repair,未损坏，无需修理
NO_IMPROVEMENTS,No Improvements Unlocked,没有已解锁的升级项
NONE,None,无
NORTH,North,北方
OFF_HAND,Off Hand,副手
OFFICIAL_CHARACTERS,Fates,宿命
ONGOING_QUESTS,Ongoing,进行中
ON_GROUND,On Ground,在地上
PAUSED,Paused,暂停
PICKUP_BOTH_HAND,Pick up in Both Hands,双手捡起
PICKUP_MAIN_HAND,Pick up in Main Hand,主手捡起
PICKUP_OFF_HAND,Pick up in Off Hand,副手捡起
ENCOUNTER_AND,... and {0},…然后{0}
ENCOUNTER_BUT,... but {0},…但是{0}
PLAYER_CANNOT_CARRY,This is more than I can carry...,我拿不了了……
RESEARCH,Research,研究
RESEARCHING,Researching...,研究中……
RESUME,Resume,继续
SAVE,Save,保存
SAVE_NEW_GAME,Save New Custom Checkpoint,新建手动存档
SELECT_CHARACTER,SELECT CHARACTER,<b>选择角色</b>
SELECTED_CARDS,Selected Cards,已选卡牌
SHEATHED,Sheathed,入鞘
SLOT,Slot,存档
SOUTH,South,南方
START_BUILDING,Start the construction of ,开始建造
STAT_INFLUENCES,Influenced by,影响因素
INVENTORY_STORE,Store inside {0},放入{0}
STRONG_FLAVOUR,Very {0},充满{0}
SUBTLE_FLAVOUR,Slightly {0},有点{0}
SUCCESS_CHANCE,Success,成功率
SURVIVAL_BONUS,Survival bonus,额外奖励
SWITCH_BOTH_HANDS,Switch to Both Hands,切换至双手
SWITCH_MAIN_HAND,Switch to Main Hand,切换到主手
SWITCH_OFF_HAND,Switch to Off Hand,切换到副手
TIME_IS_BETWEEN,It's between {0} and {1},当前时间{0}到{1}
TIP,Tip,小贴士
BLAND,Tastes bland...,寡淡无味……
TOO_INTENSE_TASTE,Too {0}...,{0}太重了……
TRACKING_NAME,The tracks belong to {0}.,这些足迹属于{0}。
TRACKING_DIRECTION,The tracks are going {0}.,这些足迹正通向{0}。
TRACKING_TIME,The tracks were left {0} ago.,这些足迹是{0}前留下的。
TRACKING_WEIGHT,The tracks were left by something of {0} weight.,这些痕迹是由{0}猎物留下的。
TRADE_STEALING,Stealing is wrong!,偷窃不可饶恕！
TRADE_SLOT,Drag items here to trade,将物品拖至此处交易
TRANSFER_TO_LOCATION,Move Item,移动物品
TRASH_CONFIRM,Throw {0} away?,确定要永久丢弃{0}吗？
DEMO_UNAVAILABLE,Full Game Only,仅完整版可用
TO_UNLOCK,To unlock: ,待解锁：
UNSHEATHE_BOTH_HAND,Unsheathe to Both Hands,双手拔出
UNSHEATHE_MAIN_HAND,Unsheathe to Main Hand,主手拔出
UNSHEATHE_OFF_HAND,Unsheathe to Off Hand,副手拔出
VICTORY_BONUS,Victory Bonus,通关奖励
ENCOUNTER_WEAPON_AND_PROJECTILE,{0} and {1},{0}和{1}
WEST,West,西方
WOUNDED,YOU GOT WOUNDED!,<b>你受伤了！</b>
WOUNDS,Wounds,伤口
YOU,You,你
GuideManager_AllTips[0],You can bookmark cards from their description windows so you can quickly jump to them.,可在卡牌描述界面添加书签，以便快速跳转。
GuideManager_AllTips[1],You can right-click on cards to make them quickly jump from one row to another.,右键点击卡牌，即可将其移动至另一行。
GuideManager_AllTips[2],You can move stacks from one row to another by holding left-click on the top or bottom of a card.,左键长按堆叠卡牌的顶部或底部，即可将其移动至另一行。
GuideManager_AllTips[3],"If you're too hot, consider taking clothes off or getting wet to lower your temperature.",温度过高时，可以考虑脱掉衣服或打湿身体来降低体温。
HELP,Help,帮助
CARD_INSPECTION_TITLE,DETAILS,<b>详情</b>
CONFIRM_QUESTION,Confirm?,确认？
LEAVE_BE,Leave it be,不管它
CONTINUE,Continue,继续
BACK,Back,返回
NO,No,否
YES,Yes,是
OBJECTIVE_COMPLETE,OBJECTIVE COMPLETE,<b>目标完成</b>
AMBIENCE,Ambience,环境声
SFX,Sound Effects,音效
CUSTOMIZE_UI,Customize UI (Coming Soon),自定义UI（即将推出）
INTERFACE,INTERFACE,<b>界面</b>
VOLUME,VOLUME,<b>音量</b>
MISC,MISC.,<b>杂项</b>
RESET_GAME,Reset Game,重置游戏
REVERT_OPTIONS,Revert to Default Options,恢复默认设置
VISUAL_EFFECTS,Visual effects,视觉特效
FULLSCREEN,Fullscreen,全屏
INVERT_SCROLL,Invert Horizontal Scroll,反转水平滚轮
FONT_STYLE,Font Style,字体
APPLY,Apply,应用
DISPLAY,DISPLAY,<b>显示</b>
SCROLL_SENSITIVITY,Scroll Sensitivity,滚轮灵敏度
LANGUAGE,Language,语言
RESOLUTION,Resolution,分辨率
VSYNC,VSync,垂直同步
RESET_GAME_CONFIRM,"This will delete all progress, custom characters and unlocked perks, and reset the options.\nReset the game?",这将删除所有游戏进度、自定义角色和已解锁的特质，同时重置所有设置。\n确定要重置游戏吗？
LANGUAGE_CHANGE_CONFIRM,Changing the language requires a restart (your progress will be saved if you're in a run). Do you wish to proceed?,更改语言需要重启游戏（进行中的游戏进度将被保存）。要继续吗？
OPTIONS_MENU_TITLE,OPTIONS,<b>选项</b>
CONFIRM_DELETE_SLOT,Delete this slot?,删除这个存档？
NEW_GAME,NEW GAME,<b>新游戏</b>
GAMEMODE_LIST,GAMEMODES,<b>游戏模式</b>
EASY_MODE_TITLE,EASY MODE,<b>简单模式</b>
THANKS_CHINESE_VIDEOS,"大头哥哥的游戏世界, 逆风笑, 老番茄 & 冰IC\n<size=75\n%>For their bilibili videos on Card Survival.</size>",大头哥哥的游戏世界、逆风笑、老番茄 & 冰IC\n<size=75\n%>感谢他们在Bilibili分享的《卡牌生存》游戏视频。</size>
TROPICAL_ISLAND_SUBTITLE,Tropical Island,热带岛屿
PURCHASE,Purchase,购买
MIDJOURNEY,Portraits created using MidJourney,头像由 MidJourney 生成
SAVE_CHARACTER,Submit,提交
SAFE_MODE,Safe Mode,安全模式
SAVEFILE_WRITING_ERROR,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.",在写入当前游戏的存档文件时似乎发生了一个错误。\n\n这意味着您当前的游戏进度无法被保存。如果您用其他程序打开了存档文件，请关闭该程序后重试，这可能会解决问题。\n\n若不属于上述情况且这条消息持续出现，请在Steam讨论区通知我们，并将您的 Player.log 文件发送到 winterspringgames@gmail.com。我们为造成的不便感到抱歉。
EQUIPPED_PERKS,Equipped Perks,已启用的特质
CREATE_CHARACTER_DESC,Customize the experience by creating your own character,创建自定义角色以获得独特游戏体验
SPECIAL_THANKS,Special thanks to:,特别鸣谢：
DONT_REMIND_EASY_PACKAGE,"Yes, stop reminding me",好的，别再提醒我了
SELECT_A_PERK,SELECT A PERK,<b>选择一个特质</b>
THANKS_RETROMATION,Retromation \n<size=75\n%>For being an all around great guy & for showing our game to the world.</size>,Retromation \n<size=75\n%>一位全能的朋友 & 感谢他将我们的游戏展示给全世界。</size>
EXIT_CHARACTER_WITHOUT_SAVING,Exit without saving?,不保存就退出吗？
STARTING_CONDITIONS,Starting Conditions,开局条件
OUR_CHINESE_VOLUNTEERS,Our chinese translation volunteers:,我们的汉化志愿者：
EXIT_CHARACTER_WITHOUT_NAME,Please enter a name for your character,请为你的角色取个名字
START_GAME_BUTTON,START GAME,<b>开始游戏</b>
CREATE_NEW_CHARACTER,CREATE NEW CHARACTER,<b>创建新角色</b>
OK,Ok,好的
DELETING_PORTRAIT,DELETING CUSTOM PORTRAIT...,<b>正在删除自定义头像……</b>
THANKS_THENEOMARE,The Neomare \n<size=75\n%>For being another great guy & showing his constant support both in his Youtube channel & the forums.</size>,The Neomare \n<size=75\n%>另一位优秀的好朋友 & 感谢他一直以来在油管和Discord上的支持。</size>
ALLOWED_CHARACTERS,Allowed Characters,可选角色
OUR_PATRONS,Our supporters on Patreon:,我们在 Patreon 上的支持者：
LOADING_PORTRAITS,LOADING CUSTOM PORTRAITS...,<b>正在加载自定义头像……</b>
SELECT_GAMEMODE,NEW GAME - SELECT GAMEMODE,<b>新游戏 — 选择游戏模式</b>
FANTASY_SUBTITLE,<size=75%>Fantasy Forest</size>,<size=75%>奇幻森林</size>
DELETE_CONFIRM,Are you sure you want to delete?\n,你确定要删除吗？\n
QUIT_CONFIRM_MENU,Quit the game?,退出游戏？
CARD_SURVIVAL_TITLE,CARD SURVIVAL,<b>卡牌生存</b>
OUR_OTHER_GAMES,Our other games,我们开发的其他游戏
EASY_PACKAGE_TOGGLE,Easy Mode,简单模式
CANCEL_EASY_PACKAGE,Cancel,取消
EASY_PACKAGE_DESC,Card Survival is designed to be challenging and unforgiving.\n\nEasy Mode provides you with basic supplies so you can have more time to learn and train.,卡牌生存被设计的低容错且充满挑战。\n\n简单模式为你提供一些基础的补给以便你有更多的时间来学习和练习。
GAME_BY,By WinterSpring Games:,WinterSpring Games 出品：
INFO_AND_NEWS,PATCH NOTES & NEWS,<b>更新日志与新闻</b>
IMPORTING_PORTRAIT,IMPORTING CUSTOM PORTRAIT...,<b>正在导入自定义头像……</b>
DEMO_GET_FULL_GAME,Get the full <b>GAME</b>,购买<b>完整版游戏</b>
ENTER_NAME,ENTER NAME,<b>输入名字</b>
SELECT_GAME,SELECT GAME,<b>选择游戏</b>
NEXT,NEXT,<b>下一个</b>
EDIT_CHARACTER,Edit Character,编辑角色
THANKS_FAMILIES,"Our Families\n<size=75%>For their trust, patience & love.</size>",我们的家人\n<size=75%>感谢他们的信任、耐心和关爱。</size>
DELETE_PORTRAIT_CONFIRM,Delete custom portrait?,删除自定义头像？
ENTER_BIO,Enter Character Bio,输入角色简介
PLAY,Play,<b>开始游戏</b>
CHARACTERS,CHARACTERS,<b>角色</b>
BOUGHT,Purchased,已购买
MOONS_TITLE,Moons,月亮
MOONS_DESC,You earn one moon per 30 days of survival,每活过 30 天将获得 1 个月亮
SAFETY_MODE_TITLE,Safety Mode,安全模式
SAFETY_MODE_DESC,Allows you to restart the day from the menu or when you die.,允许你随时通过菜单重新开始这一天（包括死亡时）。
SUNS_TITLE,Suns,太阳
SUNS_DESC,You earn one sun per day of survival,每活过 1 天将获得 1 个太阳
CANCEL_ACTION,CANCEL,<b>取消</b>
NO_BLUEPRINT_AVAILABLE,Explore and find items to unlock blueprints,通过探索和发现新物品来解锁蓝图
BLUEPRINT_MODELS,BLUEPRINTS,<b>蓝图</b>
GO_TO_MENU,Go to menu,前往菜单
OPTIONS,Options,选项
SAVE_AND_QUIT,Save and Quit,保存并退出
CHECKPOINT_CONFIRM,Restart from the start of this day?,重新开始这一天？
MENU,MENU,菜单
QUIT_CONFIRM,Save and quit to main menu?,保存并返回主菜单？
ACCEPT_TRADE,Accept Trade,接受交易
QUIT_TRADING,Cancel Trade,取消交易
QUESTS_JOURNAL,QUESTS,<b>任务</b>
CLOSE,Close,关闭
STATS_TITLE,STATS,<b>状态</b>
THROW_ONE_AWAY,Throw 1 away,丢弃 1 个
THROW_ALL_AWAY,Throw \nall away,丢弃\n全部
AUTOFILL,AUTO-FILL,<b>自动填充</b>
PLEASE_CLEAR_PROJECT,Please clear current project first.,请先完成当前事项。
TRADE,Trade,交易
RENAME_CARD,Rename Card,重命名卡牌
THROW_AWAY,Throw away,丢弃
TAKE_OUT_ITEMS,Take out all items,取出全部物品
TAKE_OUT,Take,取出
CONFIRM_CAPS,CONFIRM,<b>确认</b>
BLUEPRINT_RESEARCHED_TITLE,BLUEPRINT RESEARCHED,<b>蓝图研究完成</b>
BLUEPRINT_RESEARCHED_DESC,I discovered a new Blueprint!,我发现了新蓝图！
PERK_UNLOCKED,PERK UNLOCKED!,<b>已解锁特质！</b>
SEARCH,Search...,搜寻……
WEATHER_INDICATOR,Weather:,天气：
BUY,Buy,购买
SURVIVAL_CODEX,SURVIVAL GUIDE,<b>生存指南</b>
COMPLETE,Complete,完成
DRAG_TO_BUILD,(Drag here to build),（拖至此处以制作）
STAT_DETAILS_STATUS,Status:,状态：
PERK_INSTRUCTIONS,Use Perks to create new playable characters!,使用特质创建新的角色！
FULL_GAME_FEATURES,"All Characters + Character Creator\nAll Island Environments, Animals, Crops and Blueprints",全特质+角色编辑器\n全岛屿环境+动物+作物+蓝图
SAVING_ERROR_TEXT,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.\n\nIn the meantime, what would you like to do?",在写入当前游戏的存档文件时似乎发生了一个错误。\n\n这意味着您当前的游戏进度无法被保存。如果您用其他程序打开了存档文件，请关闭该程序后重试，这可能会解决问题。\n\n若不属于上述情况且这条消息持续出现，请在Steam讨论区通知我们，并将您的 Player.log 文件发送到 winterspringgames@gmail.com。我们为造成的不便感到抱歉。\n\n在此期间，你想做点什么吗？
FOR_THE_FULL_EXPERIENCE,For the full experience click on the image below:,点击下方图片以获得完整体验：
STATS,Stats,状态
DIARY,Diary,日记
SKILLS,Skills,技能
JOURNAL,Journal,记事本
BLUEPRINTS,Blueprints,蓝图
WAITING_OPTIONS,Waiting Options,消磨时间
ITEMS_LOST,Some items were lost,失去了以下物品
FantasySet_SetName,Stylized,风格化字体
LegacySet_SetName,Accessible,简约字体
TypewriterSet_SetName,Stylized,特色字体
Heavy_CategoryName,Heavy,沉的
Light_CategoryName,Light,轻的
Medium_CategoryName,Medium,不轻不重的
Agent_Badger_AgentName,Badger,獾
Agent_Boar_AgentName,Boar,野猪
Agent_Doe_AgentName,Doe,母鹿
Agent_Fox_AgentName,Fox,狐狸
Agent_Partridge_AgentName,Partridge,灰山鹑
Agent_Stag_AgentName,Stag,公鹿
Agent_Trader_AgentName,Trader,商人
Agent_Trader_Dialogs[0].DialogName,Talk,交谈
Agent_Wolf_AgentName,Wolf,狼
DefaultTracksCard_CardName,Tracks!,有踪迹！
DefaultTracksCard_CardDescription,Something left tracks!,有东西留下了痕迹！
DefaultTracksCard_SpoilageTime.CardStatName,Freshness,新鲜度
RiverFishermanWest_UsageDurability.CardStatName,Nutrition,营养
RiverFishermanWest_FuelCapacity.CardStatName,Hydration,湿度
Bp_BadgerBlessing_CardName,Blessing,赐福
Bp_BadgerFamiliar_CardName,Summoning Ritual,召唤仪式
Bp_EarthBlessing_CardName,Blessing,赐福
Bp_EarthFamiliar_CardName,Summoning Ritual,召唤仪式
Bp_FireBlessing_CardName,Blessing,赐福
Bp_FireFamiliar_CardName,Summoning Ritual,召唤仪式
Bp_WaterBlessing_CardName,Blessing,赐福
Bp_WaterFamiliar_CardName,Summoning Ritual,召唤仪式
Bp_ArrowBone_CardName,Bone Arrows,骨箭
Bp_ArrowBone_CardDescription,Well balanced arrows with bone arrowheads.,使用骨质箭头且重心平衡的箭。
Bp_ArrowBone_UnlockConditionsDesc,More Archery Needed,需要更高的箭术技能。
Bp_BadgerEnchantment_CardName,Badger Enchantment,獾附魔
Bp_BadgerEnchantment_CardDescription,"Enchants an object with the blessings of a badger spirit, making you better at foraging and boosting your immune system.",用獾精魄的赐福附魔一件物品，使你更善于觅食并增强免疫系统。
Bp_BarkSandals_CardName,Bark Sandals,树皮凉鞋
Bp_BarkSandals_CardDescription,"They're not comfortable, but they should protect my feet from damage.",这双鞋一点都不舒服，但它能保护我的脚免受伤害。
Bp_Basket_CardName,Basket,编织篓
Bp_Basket_CardDescription,"Provides storage space, comfort and preserves food longer.",提供存储空间、舒适度并让食物保存得更久。
Bp_Basket_UnlockConditionsDesc,Dry Reeds Needed,需要干芦苇
Bp_BedLog_CardName,Log Bed,原木床
Bp_BedLog_CardDescription,"Increases comfort, and raises wellbeing, focus and insulation while sleeping on it.",增加舒适度，睡在上面时提高幸福度、专注度和保温。
Bp_BedLog_UnlockConditionsDesc,Log Needed,需要原木
Bp_Bedroll_CardName,Bedroll,睡袋
Bp_Bedroll_CardDescription,"A portable bed. Increases wellbeing, focus and insulation while sleeping on it.",一个便携的床。睡在上面时提高幸福度、专注度和保温。
Bp_Bedroll_UnlockConditionsDesc,Leather Pants Needed,需要皮革裤
Bp_BedRustic_CardName,Rustic Bed,简易床
Bp_BedRustic_CardDescription,A nice wooden bed. My back will thank me.,一张结实的木床。我的背会好受些。
Bp_BedRustic_UnlockConditionsDesc,More Crafting Needed,需要更高的制作技能
Bp_BedWooden_CardName,Wooden Bed,木床
Bp_BedWooden_CardDescription,"Increases comfort, and raises wellbeing, focus and insulation while sleeping on it.",增加舒适度，睡在上面时提高幸福度、专注度和保温。
Bp_BedWooden_UnlockConditionsDesc,More Woodworking Needed,需要更高的木工技能
Bp_BoneKnife_CardName,Bone Knife,骨刀
Bp_BoneKnife_CardDescription,A sharp bone knife.,一把锋利的骨刀。
Bp_BoneKnife_UnlockConditionsDesc,Bones Needed,需要骨头
Bp_Bookshelf_CardName,Bookshelf,书架
Bp_Bookshelf_CardDescription,Useful for storing items or displaying decorations for additional comfort. Keeps food fresh longer and provides comfort.,用于储存物品或展示装饰品。让食物保鲜更久并增加舒适度。展示装饰品可提供额外的舒适度。
Bp_Bookshelf_UnlockConditionsDesc,More Woodworking Needed,需要更高的木工技能
Bp_BreadLoaf_CardName,Rye Bread Loaf,黑麦面包条
Bp_Broom_CardName,Broom,扫帚
Bp_Broom_CardDescription,Used for sweeping and cleaning indoor areas.,用于打扫和清理室内区域。
Bp_Cabin_CardName,Cabin,木屋
Bp_Cabin_UnlockConditionsDesc,Rustic Table Needed,需要简易桌子
Bp_Cage_CardName,Cage,诱捕笼
Bp_Cage_CardDescription,Can keep small live animals locked inside. \n\nIf an animal is left inside it can be used to lure others of its species.,可以活捉小型动物。\n\n如果动物被留在里面，它可以用来引诱其他同类。
Bp_Campfire_CardName,Campfire,营火
Bp_Campfire_CardDescription,"Perfect for cooking, should provide me with warmth and light.",完美的烹饪工具，应该能给我提供取暖和照明。
Bp_Chair_CardName,Chair,椅子
Bp_Chair_CardDescription,Increases comfort and helps you with crafting.,增加舒适度，有助于手工制作。
Bp_Chair_UnlockConditionsDesc,More Woodworking Needed,需要更高的木工技能
Bp_ChickenNestBox_CardName,Chicken Nest Box,鸡巢盒
Bp_ClayBowl_CardName,Clay Bowl,陶碗
Bp_ClayBowl_CardDescription,"Can be used as a drinking cup, an eating bowl, or to prepare teas.",可被用作杯子、碗，也可以用来泡茶。
Bp_ClayBowl_UnlockConditionsDesc,Clay Needed,需要粘土
Bp_ClayCauldron_CardName,Clay Cauldron,粘土大锅
Bp_ClayCauldron_CardDescription,Can be used to prepare broths and stews.,可被用来制作汤和炖菜。
Bp_ClayCauldron_UnlockConditionsDesc,Kiln Needed,需要窑炉
Bp_ClayJar_CardName,Clay Jar,小陶罐
Bp_ClayJar_CardDescription,"A small sealed container, ideal for preserving spices, medicines and dried powders in general.",一个小型密封容器，非常适合用于保存香料、药物和粉末。
Bp_ClayJar_UnlockConditionsDesc,Oven Needed,需要烤箱
Bp_ClayPlate_CardName,Clay Plate,陶盘
Bp_ClayPlate_CardDescription,Serves as a basic dish for meals.,用餐的基础餐具。
Bp_ClayPlate_UnlockConditionsDesc,Oven Needed,需要烤箱
Bp_ClayStoragePot_CardName,Storage Pot,储物罐
Bp_ClayStoragePot_CardDescription,A large container for food preservation (especially when sealed).,一个用于保存食物的大型容器（尤其在密封时）。
Bp_ClayStoragePot_UnlockConditionsDesc,Kiln Needed,需要窑炉
Bp_ClayVase_CardName,Clay Vase,陶罐
Bp_ClayVase_CardDescription,A medium sized container for storing water and other liquids.,一个用于保存水或其他液体的中型容器。
Bp_ClayVase_UnlockConditionsDesc,Kiln Needed,需要窑炉
Bp_ClothLarge_CardName,Large cloth,大块的布
Bp_ClothMedium_CardName,Cloth,布
Bp_ClothSmall_CardName,Small Cloth,布片
Bp_CloverField_CardName,Clover,三叶草
Bp_CloverField_CardDescription,"Found in oak clearings; has very few needs and is ideal for letting fields rest because of its nutrient fixing capabilities.\n\nCan be used as bedding material, animal feed, human food or as a cover crop.",生长在橡木林隙中；对土壤要求低，因其固氮能力适宜用作土壤休耕。\n\n可用作垫料、动物饲料、人类食物或作为覆土作物。
Bp_CollapsedWell_CardName,Collapsed Well,坍塌的井
Bp_CollapsedWell_UnlockConditionsDesc,More Fire Affinity Needed,需要更高的火亲和度
Bp_Comb_CardName,Hackle,梳理器
Bp_CompostBin_CardName,Compost Bin,堆肥箱
Bp_CompostBin_CardDescription,Turn organic waste into fertilizer.,把有机残渣转化为肥料。
Bp_CompostBin_UnlockConditionsDesc,More Herbalism Needed,需要更高的药草学技能
Bp_CookingPot_CardName,Cooking Pot,烹饪锅
